Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
126,"JH Kwakkel","The Exploratory Modeling Workbench: An open source toolkit for exploratory modeling, scenario discovery, and (multi-objective) robust decision making",2017,"Environmental Modelling & Software","Elsevier","https://www.sciencedirect.com/science/article/pii/S1364815217301251","https://scholar.google.com/scholar?cites=10507804028821905855&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-09-23 12:35:59","HTML","","","",,,,,126,31.50,126,1,4,"There is a growing interest in model-based decision support under deep uncertainty, reflected in a variety of approaches being put forward in the literature. A key idea shared among these is the use of models for exploratory rather than predictive purposes …","https://www.sciencedirect.com/science/article/pii/S1364815217301251","https://scholar.google.com/scholar?q=related:vyFZaxc405EJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
92,"EE Koks, J Rozenberg, C Zorn, M Tariverdi…","A global multi-hazard risk analysis of road and railway infrastructure assets",2019,"Nature …","nature.com","https://www.nature.com/articles/s41467-019-10442-3","https://scholar.google.com/scholar?cites=6206618756081729836&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-09-23 12:35:59","HTML","","","",,,,,92,46.00,18,5,2,"Transport infrastructure is exposed to natural hazards all around the world. Here we present the first global estimates of multi-hazard exposure and risk to road and rail infrastructure. Results reveal that~ 27% of all global road and railway assets are exposed to at least one …","https://www.nature.com/articles/s41467-019-10442-3","https://scholar.google.com/scholar?q=related:LEGH5N9WIlYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
88,"CJ Smith, PM Forster, M Allen, J Fuglestvedt…","Current fossil fuel infrastructure does not yet commit us to 1.5 C warming",2019,"Nature …","nature.com","https://www.nature.com/articles/s41467-018-07999-w?source=post_page---------------------------","https://scholar.google.com/scholar?cites=10205881953877806745&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-09-23 12:35:59","HTML","","","",,,,,88,44.00,18,5,2,"Committed warming describes how much future warming can be expected from historical emissions due to inertia in the climate system. It is usually defined in terms of the level of warming above the present for an abrupt halt of emissions. Owing to socioeconomic …","https://www.nature.com/articles/s41467-018-07999-w?source=post_page---------------------------","https://scholar.google.com/scholar?q=related:mc50YJCToo0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
92,"H Nori, S Jenkins, P Koch, R Caruana","Interpretml: A unified framework for machine learning interpretability",2019,"arXiv preprint arXiv:1909.09223","arxiv.org","https://arxiv.org/abs/1909.09223","https://scholar.google.com/scholar?cites=4053964471673528539&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-09-23 12:35:59","","","","",,,,,92,46.00,23,4,2,"InterpretML is an open-source Python package which exposes machine learning interpretability algorithms to practitioners and researchers. InterpretML exposes two types of interpretability-glassbox models, which are machine learning models designed for …","https://arxiv.org/pdf/1909.09223","https://scholar.google.com/scholar?q=related:26AnSjWTQjgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
91,"RF Reis, B de Melo Quintela…","Characterization of the COVID-19 pandemic and the impact of uncertainties, mitigation strategies, and underreporting of cases in South Korea, Italy, and Brazil",2020,"Chaos, Solitons & …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0960077920302885?casa_token=K0CfVNDmTxEAAAAA:EeI4D0uD3LeKPIbz0dml6ixJ6Fsa6H02NDpX6jvDcvMBVmGIpiQSbojRoGNU56NHTtkMjxMVciCc","https://scholar.google.com/scholar?cites=10910077974624486179&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-09-23 12:35:59","HTML","","","",,,,,91,91.00,30,3,1,"Abstract By April 7th, 2020, the Coronavirus disease 2019 (COVID-19) has infected one and a half million people worldwide, accounting for over 80 thousand of deaths in 209 countries and territories around the world. The new and fast dynamics of the pandemic are …","https://www.sciencedirect.com/science/article/pii/S0960077920302885?casa_token=K0CfVNDmTxEAAAAA:EeI4D0uD3LeKPIbz0dml6ixJ6Fsa6H02NDpX6jvDcvMBVmGIpiQSbojRoGNU56NHTtkMjxMVciCc","https://scholar.google.com/scholar?q=related:I0NOJR1iaJcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
46,"S Tennøe, G Halnes, GT Einevoll","Uncertainpy: a python toolbox for uncertainty quantification and sensitivity analysis in computational neuroscience",2018,"Frontiers in neuroinformatics","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fninf.2018.00049/full","https://scholar.google.com/scholar?cites=8232120937497828497&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-09-23 12:35:59","HTML","","","",,,,,46,15.33,15,3,3,"Computational models in neuroscience typically contain many parameters that are poorly constrained by experimental data. Uncertainty quantification and sensitivity analysis provide rigorous procedures to quantify how the model output depends on this parameter …","https://www.frontiersin.org/articles/10.3389/fninf.2018.00049/full","https://scholar.google.com/scholar?q=related:kRydg2BePnIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
39,"M Jaxa-Rozen, JH Kwakkel","Pynetlogo: Linking netlogo with python",2018,"Journal of Artificial Societies …","archive-ouverte.unige.ch","https://archive-ouverte.unige.ch/unige:128841","https://scholar.google.com/scholar?cites=12866651611120652462&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-09-23 12:35:59","","","","",,,,,39,13.00,20,2,3,"Methods for testing and analyzing agent-based models have drawn increasing attention in the literature, in the context of efforts to establish standard frameworks for the development and documentation of models. This process can benefit from the use of established software …","https://archive-ouverte.unige.ch/unige:128841/ATTACHMENT01","https://scholar.google.com/scholar?q=related:rtCNSXiHj7IJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
38,"MD Murbach, DT Schwartz","Analysis of Li-ion battery electrochemical impedance spectroscopy data: An easy-to-implement approach for physics-based parameter estimation using an open …",2018,"Journal of The Electrochemical …","iopscience.iop.org","https://iopscience.iop.org/article/10.1149/2.1021802jes/meta","https://scholar.google.com/scholar?cites=6196798044620536587&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-09-23 12:35:59","","","","",,,,,38,12.67,19,2,3,"The quantitative analysis of electrochemical impedance spectroscopy (EIS) data is important for both characterization and prognostic applications in many electrochemical systems. Here we describe an open-source platform, the ImpedanceAnalyzer, for easy-to-use physics …","https://iopscience.iop.org/article/10.1149/2.1021802jes/pdf","https://scholar.google.com/scholar?q=related:CztxUv1y_1UJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
35,"JR Lamontagne, PM Reed, G Marangoni…","Robust abatement pathways to tolerable climate futures require immediate global action",2019,"Nature Climate …","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41558-019-0426-8.&casa_token=rDTK0ij8rSwAAAAA:qt5yBLbgtssoRpMoaKiJHmdH_tyRzoXR9ge_Om-9Gj2acOvdGKDdkk2YwdJy0-wg89J4g1lnzzT0IGDSe-8","https://scholar.google.com/scholar?cites=13750015374791426567&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-09-23 12:35:59","HTML","","","",,,,,35,17.50,9,4,2,"Disentangling the relative importance of climate change abatement policies from the human–Earth system (HES) uncertainties that determine their performance is challenging because the two are inexorably linked, and the nature of this linkage is dynamic, interactive and …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41558-019-0426-8.&casa_token=rDTK0ij8rSwAAAAA:qt5yBLbgtssoRpMoaKiJHmdH_tyRzoXR9ge_Om-9Gj2acOvdGKDdkk2YwdJy0-wg89J4g1lnzzT0IGDSe-8","https://scholar.google.com/scholar?q=related:B0Ka9iHe0b4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
42,"S Eker, G Reese, M Obersteiner","Modelling the drivers of a widespread shift to sustainable diets",2019,"Nature Sustainability","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41893-019-0331-1&casa_token=3BHZmBfWQb0AAAAA:LHk4GTrqiyCV4LrWeLsuuZz0hWOJuwHqQGzd9fbJOlxAlNvdRkNTJkAktJoCCnJz2q6UxO6dmZSrFxV9-oU","https://scholar.google.com/scholar?cites=10118972530759463627&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-09-23 12:35:59","HTML","","","",,,,,42,21.00,14,3,2,"A reduction in global meat consumption can significantly reduce the adverse environmental effects of the food system, but it would require widespread dietary changes. Such shifts to sustainable diets depend on several behavioural factors that have not yet been addressed …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41893-019-0331-1&casa_token=3BHZmBfWQb0AAAAA:LHk4GTrqiyCV4LrWeLsuuZz0hWOJuwHqQGzd9fbJOlxAlNvdRkNTJkAktJoCCnJz2q6UxO6dmZSrFxV9-oU","https://scholar.google.com/scholar?q=related:y3Lac-fPbYwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
